CRName  Row  Col  Date  Type  
CS 463   7   0   0.29   H   
CS 464   7   0   0.29   H   
CS 467   7   0   0.29   H   
CS 471   7   0   0.29   H   
CS 480   7   0   0.29   H   
CS 497   7   0   0.29   H   
CS 500   7   0   0.29   H   
CS 502   7   0   0.29   H   
CS 517   7   0   0.29   H   
CS 518   7   0   0.29   H   
CS 532   7   0   0.29   H   
CS 550   7   0   0.29   H   
CS 555   7   0   0.29   H   
CS 562   7   0   0.29   H   
CS 563   7   0   0.29   H   
CS 564   7   0   0.29   H   
CS 567   7   0   0.29   H   
CS 580   7   0   0.29   H   
CS 597   7   0   0.29   H   
CS 620   7   0   0.29   H   
CS 625   7   0   0.29   H   
CS 665   7   0   0.29   H   
CS 667   7   0   0.29   H   
CS 690   7   0   0.29   H   
CS 697   7   0   0.29   H   
CS 698   7   0   0.29   H   
CS 699   7   0   0.29   H   
CS 722   7   0   0.29   H   
CS 723   7   0   0.29   H   
CS 776   7   0   0.29   H   
CS 791   7   0   0.29   H   
CS 795   7   0   0.29   H   
CS 796   7   0   0.29   H   
CS 822   7   0   0.29   H   
CS 823   7   0   0.29   H   
CS 876   7   0   0.29   H   
CS 891   7   0   0.29   H   
CS 895   7   0   0.29   H   
CS 896   7   0   0.29   H   
CS 899   7   0   0.29   H   
CS 999   7   0   0.29   H   
CS 120G   8   0   0.3   H   
CS 121G   8   0   0.3   H   
CS 129   8   0   0.3   H   
CS 150   8   0   0.3   H   
CS 170   8   0   0.3   H   
CS 229   8   0   0.3   H   
CS 250   8   0   0.3   H   
CS 252   8   0   0.3   H   
CS 270   8   0   0.3   H   
CS 300T   8   0   0.3   H   
CS 312   8   0   0.3   H   
CS 330   8   0   0.3   H   
CS 334   8   0   0.3   H   
CS 350   8   0   0.3   H   
CS 355   8   0   0.3   H   
CS 361   8   0   0.3   H   
CS 367   8   0   0.3   H   
CS 368   8   0   0.3   H   
CS 381   8   0   0.3   H   
CS 382   8   0   0.3   H   
CS 390   8   0   0.3   H   
CS 395   8   0   0.3   H   
CS 402   8   0   0.3   H   
CS 410   8   0   0.3   H   
CS 411W   8   0   0.3   H   
CS 417   8   0   0.3   H   
CS 418   8   0   0.3   H   
CS 432   8   0   0.3   H   
CS 450   8   0   0.3   H   
CS 455   8   0   0.3   H   
CS 460   8   0   0.3   H   
CS 462   8   0   0.3   H   
CS 463   8   0   0.3   H   
CS 464   8   0   0.3   H   
CS 467   8   0   0.3   H   
CS 471   8   0   0.3   H   
CS 480   8   0   0.3   H   
CS 497   8   0   0.3   H   
CS 500   8   0   0.3   H   
CS 502   8   0   0.3   H   
CS 517   8   0   0.3   H   
CS 518   8   0   0.3   H   
CS 532   8   0   0.3   H   
CS 550   8   0   0.3   H   
CS 555   8   0   0.3   H   
CS 562   8   0   0.3   H   
CS 563   8   0   0.3   H   
CS 564   8   0   0.3   H   
CS 567   8   0   0.3   H   
CS 580   8   0   0.3   H   
CS 597   8   0   0.3   H   
CS 620   8   0   0.3   H   
CS 625   8   0   0.3   H   
CS 665   8   0   0.3   H   
CS 667   8   0   0.3   H   
CS 690   8   0   0.3   H   
CS 697   8   0   0.3   H   
CS 698   8   0   0.3   H   
CS 699   8   0   0.3   H   
CS 722   8   0   0.3   H   
CS 723   8   0   0.3   H   
CS 776   8   0   0.3   H   
CS 791   8   0   0.3   H   
CS 795   8   0   0.3   H   
CS 796   8   0   0.3   H   
CS 822   8   0   0.3   H   
CS 823   8   0   0.3   H   
CS 876   8   0   0.3   H   
CS 891   8   0   0.3   H   
CS 895   8   0   0.3   H   
CS 896   8   0   0.3   H   
CS 899   8   0   0.3   H   
CS 999   8   0   0.3   H   
CS 120G   9   0   0.31   H   
CS 121G   9   0   0.31   H   
CS 129   9   0   0.31   H   
CS 150   9   0   0.31   H   
CS 170   9   0   0.31   H   
CS 229   9   0   0.31   H   
CS 250   9   0   0.31   H   
CS 252   9   0   0.31   H   
CS 270   9   0   0.31   H   
CS 300T   9   0   0.31   H   
CS 312   9   0   0.31   H   
CS 330   9   0   0.31   H   
CS 334   9   0   0.31   H   
CS 350   9   0   0.31   H   
CS 355   9   0   0.31   H   
CS 361   9   0   0.31   H   
CS 367   9   0   0.31   H   
CS 368   9   0   0.31   H   
CS 381   9   0   0.31   H   
CS 382   9   0   0.31   H   
CS 390   9   0   0.31   H   
CS 395   9   0   0.31   H   
CS 402   9   0   0.31   H   
CS 410   9   0   0.31   H   
CS 411W   9   0   0.31   H   
CS 417   9   0   0.31   H   
CS 418   9   0   0.31   H   
CS 432   9   0   0.31   H   
CS 450   9   0   0.31   H   
CS 455   9   0   0.31   H   
CS 460   9   0   0.31   H   
CS 462   9   0   0.31   H   
CS 463   9   0   0.31   H   
CS 464   9   0   0.31   H   
CS 467   9   0   0.31   H   
CS 471   9   0   0.31   H   
CS 480   9   0   0.31   H   
CS 497   9   0   0.31   H   
CS 500   9   0   0.31   H   
CS 502   9   0   0.31   H   
